rebarYieldCurvature	coreOneThirdCrushCurvature	coreTwoThirdCrushCurvature	ultimateCurvature
0.0025479	0.0144381	0.0305748	0.0450129
0.0042480	0.0245440	0.0500320	0.0745760
0.0030303	0.0262626	0.0518518	0.0750841
0.0030897	0.0257475	0.0521816	0.0765559
0.0030168	0.0113968	0.0241344	0.0358664
0.0023490	0.0169650	0.0354960	0.0524610
0.0035037	0.0218008	0.0416551	0.0599522
0.0031176	0.0155880	0.0322152	0.0471104
0.0030096	0.0143792	0.0314336	0.0471504
0.0029214	0.0123348	0.0272664	0.0412242
0.0034884	0.0170544	0.0360468	0.0527136
0.0031230	0.0135330	0.0284540	0.0419870
0.0037700	0.0192270	0.0407160	0.0614510
0.0033496	0.0154919	0.0305651	0.0452196
0.0025848	0.0206784	0.0436544	0.0643328
0.0029740	0.0130856	0.0294426	0.0452048
0.0032769	0.0243947	0.0462407	0.0684508
0.0027531	0.0159068	0.0336490	0.0492499
0.0021780	0.0116160	0.0251680	0.0363000
0.0029421	0.0310555	0.0627648	0.0921858
0.0021780	0.0089540	0.0198440	0.0295240
0.0024850	0.0126735	0.0263410	0.0377720
0.0028359	0.0189060	0.0397026	0.0592388
0.0025857	0.0135031	0.0298792	0.0451061
0.0027520	0.0118336	0.0253184	0.0377024
0.0028040	0.0126180	0.0274792	0.0395364
0.0031284	0.0159896	0.0333696	0.0490116
0.0033282	0.0177504	0.0369800	0.0543606
0.0029400	0.0114660	0.0261660	0.0396900
0.0021762	0.0108810	0.0229710	0.0326430
0.0028053	0.0168318	0.0352221	0.0523656
0.0031941	0.0259077	0.0542997	0.0798525
0.0021609	0.0151263	0.0324135	0.0470596
0.0028899	0.0105963	0.0237614	0.0359632
0.0031392	0.0104640	0.0233696	0.0348800
0.0021375	0.0104500	0.0228000	0.0339625
0.0045765	0.0279675	0.0569520	0.0844110
0.0033660	0.0213180	0.0411400	0.0572220
0.0032283	0.0157828	0.0333591	0.0495006
0.0027270	0.0151500	0.0321180	0.0460560
