rebarYieldCurvature	coreOneThirdCrushCurvature	coreTwoThirdCrushCurvature	ultimateCurvature
0.00094142	0.0033218	0.007222	0.0091586
0.0021878	0.0066676	0.01521	0.020107
0.0019832	0.009916	0.020328	0.0295
0.0019782	0.0072534	0.016925	0.024837
0.0029142	0.010038	0.022342	0.033351
0.001974	0.00987	0.022701	0.033361
0.001364	0.0038192	0.009548	0.014868
0.001877	0.0043171	0.010323	0.014265
0.00085301	0.0023818	0.0066801	0.0093277
0.0025407	0.0079044	0.016656	0.024278
0.0010712	0.0032136	0.0091464	0.01475
0.0017865	0.0069475	0.015483	0.022828
0.0016047	0.0056165	0.012591	0.015492
0.0031653	0.016882	0.035522	0.051348
0.0021141	0.0068121	0.015034	0.02255
0.002264	0.0074712	0.017659	0.026262
0.0015777	0.0071873	0.015426	0.022614
0.0011843	0.0026965	0.0074518	0.012043
0.0020712	0.012427	0.024854	0.036764
0.0016614	0.0070148	0.015876	0.023444
0.0028467	0.013285	0.028783	0.043017
0.0006765	0.0027675	0.007503	0.011132
0.001755	0.0054405	0.012811	0.019305
0.0024344	0.011868	0.02404	0.034994
0.00173	0.005709	0.013494	0.019722
0.0031068	0.015879	0.032449	0.047292
0.0027882	0.021996	0.04585	0.067846
0.001288	0.005152	0.011206	0.015327
0.003	0.0165	0.03225	0.047625
0.0015309	0.0061236	0.014288	0.021092
0.0021438	0.010004	0.021914	0.03311
0.0024176	0.010879	0.022061	0.03294
0.0016101	0.0055459	0.012344	0.018248
0.0015928	0.004344	0.011005	0.015928
0.0023067	0.0069201	0.016147	0.025117
0.0013653	0.0056129	0.013046	0.019873
0.0034965	0.017871	0.037296	0.05439
0.001503	0.0048096	0.012024	0.019088
0.0011934	0.0036124	0.0097083	0.013788
0.0021456	0.0076288	0.017403	0.025986
0.002897	0.0084013	0.018831	0.027811
0.00094238	0.0028687	0.0074559	0.011697
0.0027738	0.014485	0.032361	0.048696
0.0009024	0.0042864	0.01128	0.018424
0.0012978	0.0038934	0.0098056	0.014997
0.001482	0.003762	0.009804	0.015846
0.0022356	0.011675	0.02633	0.038999
0.0025884	0.01438	0.030773	0.045153
0.0033723	0.03185	0.063324	0.092926
0.0040209	0.024527	0.048652	0.069159
0.0027016	0.022626	0.047278	0.069566
0.0018864	0.0056592	0.012366	0.018445
0.002719	0.0092446	0.021752	0.032628
0.0022113	0.0071253	0.016216	0.024324
0.0029178	0.012968	0.025612	0.037931
0.0006465	0.0031894	0.0084476	0.012887
0.0024264	0.0072792	0.015367	0.022377
0.0025074	0.0072436	0.016716	0.025074
0.0005798	0.002676	0.0073144	0.011596
0.001731	0.0064047	0.01506	0.023022
0.0011622	0.0029308	0.0079335	0.012667
0.001211	0.0038752	0.009688	0.015016
0.0015552	0.0060264	0.01458	0.022745
0.0025056	0.015869	0.03313	0.048998
0.0023787	0.0071361	0.015594	0.023523
0.00224	0.009856	0.01904	0.025088
0.0011167	0.0030581	0.0075251	0.011184
0.0020655	0.006885	0.015606	0.023868
