rebarYieldCurvature	coreOneThirdCrushCurvature	coreTwoThirdCrushCurvature	ultimateCurvature
0.0023680	0.0168720	0.0343360	0.0494320
0.0042480	0.0245440	0.0500320	0.0745760
0.0030303	0.0262626	0.0518518	0.0750841
0.0028768	0.0291276	0.0575360	0.0819888
0.0035550	0.0154050	0.0316000	0.0462150
0.0031572	0.0287656	0.0564788	0.0813856
0.0035037	0.0218008	0.0416551	0.0599522
0.0030816	0.0188748	0.0381348	0.0546984
0.0032454	0.0191118	0.0371418	0.0548112
0.0032670	0.0174240	0.0344850	0.0511830
0.0038430	0.0204960	0.0418460	0.0610610
0.0033354	0.0159358	0.0322422	0.0470662
0.0039051	0.0286374	0.0542375	0.0807054
0.0033496	0.0154919	0.0305651	0.0452196
0.0029214	0.0266172	0.0545328	0.0792024
0.0034020	0.0230580	0.0438480	0.0657720
0.0032769	0.0243947	0.0462407	0.0684508
0.0028296	0.0208683	0.0427977	0.0626049
0.0025824	0.0193680	0.0390588	0.0568128
0.0032202	0.0379268	0.0737068	0.1069820
0.0023080	0.0126940	0.0256765	0.0375050
0.0027999	0.0183549	0.0376431	0.0525759
0.0028088	0.0235237	0.0488029	0.0719755
0.0029115	0.0200570	0.0391435	0.0582300
0.0030006	0.0173368	0.0350070	0.0513436
0.0031599	0.0200127	0.0403765	0.0593359
0.0031284	0.0159896	0.0333696	0.0490116
0.0033282	0.0177504	0.0369800	0.0543606
0.0030366	0.0168700	0.0337400	0.0502726
0.0022184	0.0141423	0.0288392	0.0415950
0.0031509	0.0213561	0.0430623	0.0626679
0.0039132	0.0391320	0.0769596	0.1117440
0.0026037	0.0219868	0.0442629	0.0648032
0.0032859	0.0149691	0.0299382	0.0438120
0.0030312	0.0136404	0.0272808	0.0401634
0.0026190	0.0160050	0.0317190	0.0465600
0.0050535	0.0331285	0.0685030	0.0988240
0.0036954	0.0213512	0.0431130	0.0636430
0.0034344	0.0232776	0.0461736	0.0663984
