rebarYieldCurvature	coreOneThirdCrushCurvature	coreTwoThirdCrushCurvature	ultimateCurvature
0.0020286	0.0103684	0.0229908	0.0342608
0.0042480	0.0245440	0.0500320	0.0745760
0.0025848	0.0192424	0.0399208	0.0580144
0.0024885	0.0185255	0.0381570	0.0555765
0.0021456	0.0069136	0.0154960	0.0228864
0.0015970	0.0079850	0.0183655	0.0279475
0.0031800	0.0124020	0.0286200	0.0435660
0.0023634	0.0105040	0.0217958	0.0307242
0.0027340	0.0101158	0.0237858	0.0360888
0.0026100	0.0086130	0.0198360	0.0302760
0.0028962	0.0125502	0.0276748	0.0411904
0.0024867	0.0093942	0.0204462	0.0301167
0.0030260	0.0130118	0.0293522	0.0450874
0.0028872	0.0093032	0.0211728	0.0314384
0.0021760	0.0134912	0.0287232	0.0419968
0.0021802	0.0069370	0.0176398	0.0273516
0.0032769	0.0243947	0.0462407	0.0684508
0.0021710	0.0089011	0.0199732	0.0290914
0.0015700	0.0065940	0.0153860	0.0211950
0.0022790	0.0157251	0.0346408	0.0517333
0.0012020	0.0039666	0.0103372	0.0156260
0.0016590	0.0071337	0.0155946	0.0215670
0.0022482	0.0124900	0.0277278	0.0414668
0.0023980	0.0095920	0.0227810	0.0347710
0.0019580	0.0068530	0.0156640	0.0234960
0.0020733	0.0068280	0.0161164	0.0215622
0.0030087	0.0150435	0.0317585	0.0468020
0.0031095	0.0152020	0.0324770	0.0476790
0.0022970	0.0075801	0.0181463	0.0277937
0.0017940	0.0069966	0.0156078	0.0213486
0.0022470	0.0094374	0.0213465	0.0321321
0.0025410	0.0147378	0.0327789	0.0490413
0.0014476	0.0059220	0.0142128	0.0206612
0.0022990	0.0062073	0.0149435	0.0229900
0.0026352	0.0079056	0.0181536	0.0275232
0.0016730	0.0061901	0.0147224	0.0220836
0.0038720	0.0174240	0.0375584	0.0565312
0.0030260	0.0151300	0.0272340	0.0341938
0.0027360	0.0106704	0.0232560	0.0339264
0.0020360	0.0083476	0.0187312	0.0264680
